Serial no.,Cabinet type,Cabinet Code,Width ,Height,Depth,Sqft,"No of 
drawers","No of 
shelves",Accessories,"Cabinet 
Price
(in rs)","Shelf & drawer 
price
(in rs)","Accessories
Price
(in $) ","Modern Shutter 
Price
(in $) old prices","Modern Shutter 
Price
(in $) New prices","Classic Shutter 
Price
(in $) old prices","Classic Shutter 
Price
(in $) New prices","AVERAGE RATE 
PER SQ FEET
(in $)",Remark,,,,,,,,,,,,,,,,,,,,
43,Wall Cabinet,2 Shutter Unit,900,1085,336,10.51091779202914,0,2,"900mm (35"") Dishrack",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Dish rack 900mm,,,,,,,,,,,,,,,,,,,,
44,Wall Cabinet,Blind Unit LH/RH,900,1085,336,10.51091779202914,0,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
45,Wall Cabinet,Open Unit,300,725,336,2.3411414436931266,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
46,Wall Cabinet,Shutter Unit LH/RH,450,725,336,3.5117121655396897,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
47,Wall Cabinet,Shutter Unit LH/RH,550,725,336,4.2920926467707323,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
48,Wall Cabinet,Shutter Unit LH/RH,600,725,336,4.6822828873862532,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
49,Wall Cabinet,Shutter Unit LH/RH,600,725,336,4.6822828873862532,0,0,"600mm (24"") Dishrack",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Dish rack 600mm,,,,,,,,,,,,,,,,,,,,
50,Wall Cabinet,2 Shutter Unit,850,725,336,6.6332340904638585,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
51,Wall Cabinet,2 Shutter Unit,900,725,336,7.0234243310793794,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
52,Wall Cabinet,2 Shutter Unit,900,725,336,7.0234243310793794,0,0,"900mm (35"") Dishrack",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Dish rack 900mm,,,,,,,,,,,,,,,,,,,,
